filename,width,height,class,xmin,ymin,xmax,ymax
Black-backed butterflyfish_001.JPG,600,800,Black-backed butterflyfish,157,336,267,459
Black-backed butterflyfish_002.JPG,600,800,Black-backed butterflyfish,307,335,441,487
Black-backed butterflyfish_003.JPG,600,800,Black-backed butterflyfish,209,312,356,462
Black-backed butterflyfish_004.JPG,600,800,Black-backed butterflyfish,237,326,351,437
Black-backed butterflyfish_005.jpg,1067,600,Black-backed butterflyfish,550,199,728,328
Black-backed butterflyfish_006.JPG,600,800,Black-backed butterflyfish,256,380,412,529
Black-backed butterflyfish_007.JPG,600,800,Black-backed butterflyfish,206,364,417,507
Black-backed butterflyfish_008.JPG,600,800,Black-backed butterflyfish,274,325,391,459
Black-backed butterflyfish_009.JPG,600,800,Black-backed butterflyfish,176,316,336,437
Black-backed butterflyfish_010.JPG,600,800,Black-backed butterflyfish,228,348,364,462
Black-backed butterflyfish_011.JPG,600,800,Black-backed butterflyfish,244,329,355,441
Black-backed butterflyfish_012.JPG,600,800,Black-backed butterflyfish,231,296,347,442
Black-backed butterflyfish_013.jpg,1299,600,Black-backed butterflyfish,664,238,751,364
Black-backed butterflyfish_014.jpg,1299,600,Black-backed butterflyfish,578,244,776,369
Black-backed butterflyfish_015.jpg,1299,600,Black-backed butterflyfish,709,128,942,279
Black-backed butterflyfish_016.JPG,600,800,Black-backed butterflyfish,300,380,444,464
Black-backed butterflyfish_017.JPG,600,800,Black-backed butterflyfish,205,333,309,439
Black-backed butterflyfish_018.jpg,1299,600,Black-backed butterflyfish,633,227,764,373
Black-backed butterflyfish_019.jpg,1299,600,Black-backed butterflyfish,595,228,794,354
Black-backed butterflyfish_020.jpg,1299,600,Black-backed butterflyfish,700,182,882,317
Black-backed butterflyfish_021.jpg,1299,600,Black-backed butterflyfish,725,183,860,315
Black-backed butterflyfish_022.jpg,1299,600,Black-backed butterflyfish,738,131,946,276
Black-backed butterflyfish_023.jpg,1299,600,Black-backed butterflyfish,592,164,799,323
Black-backed butterflyfish_024.jpg,1299,600,Black-backed butterflyfish,630,180,778,358
Black-backed butterflyfish_025.jpg,1299,600,Black-backed butterflyfish,570,189,734,353
Black-backed butterflyfish_026.jpg,1299,600,Black-backed butterflyfish,573,132,725,287
Black-backed butterflyfish_027.JPG,600,800,Black-backed butterflyfish,252,228,401,392
Black-backed butterflyfish_028.JPG,600,800,Black-backed butterflyfish,222,219,347,312
Black-backed butterflyfish_029.JPG,600,800,Black-backed butterflyfish,223,341,345,420
Black-backed butterflyfish_030.JPG,600,800,Black-backed butterflyfish,417,424,502,524
Black-backed butterflyfish_031.JPG,600,800,Black-backed butterflyfish,267,376,426,485
Black-backed butterflyfish_032.JPG,600,800,Black-backed butterflyfish,230,275,346,357
Black-backed butterflyfish_033.JPG,600,800,Black-backed butterflyfish,235,275,351,356
Black-backed butterflyfish_034.JPG,600,800,Black-backed butterflyfish,235,272,350,355
Black-backed butterflyfish_035.JPG,600,800,Black-backed butterflyfish,239,275,357,358
Black-backed butterflyfish_036.JPG,600,800,Black-backed butterflyfish,240,275,355,357
Black-backed butterflyfish_037.JPG,600,800,Black-backed butterflyfish,236,276,352,362
Black-backed butterflyfish_038.JPG,600,800,Black-backed butterflyfish,214,279,346,362
Black-backed butterflyfish_039.JPG,600,800,Black-backed butterflyfish,213,279,339,364
Black-backed butterflyfish_040.JPG,600,800,Black-backed butterflyfish,211,283,335,364
Black-backed butterflyfish_041.JPG,600,800,Black-backed butterflyfish,206,281,329,363
Black-backed butterflyfish_042.JPG,600,800,Black-backed butterflyfish,202,279,319,364
Black-backed butterflyfish_043.JPG,600,800,Black-backed butterflyfish,203,279,312,366
Black-backed butterflyfish_044.JPG,600,800,Black-backed butterflyfish,209,279,313,366
Black-backed butterflyfish_045.JPG,600,800,Black-backed butterflyfish,218,281,294,364
Black-backed butterflyfish_046.JPG,600,800,Black-backed butterflyfish,226,280,291,367
Black-backed butterflyfish_047.JPG,600,800,Black-backed butterflyfish,224,281,295,364
Black-backed butterflyfish_048.JPG,600,1067,Black-backed butterflyfish,114,333,281,499
Black-backed butterflyfish_049.JPG,600,1067,Black-backed butterflyfish,121,339,285,504
Black-backed butterflyfish_050.JPG,600,1067,Black-backed butterflyfish,89,362,263,536
Black-backed butterflyfish_051.JPG,600,1067,Black-backed butterflyfish,79,362,258,552
Black-backed butterflyfish_052.JPG,600,1067,Black-backed butterflyfish,27,405,248,599
Black-backed butterflyfish_053.JPG,600,1067,Black-backed butterflyfish,84,376,292,572
Black-backed butterflyfish_054.JPG,600,1067,Black-backed butterflyfish,121,396,277,576
Black-backed butterflyfish_055.JPG,600,1067,Black-backed butterflyfish,124,405,258,594
Black-backed butterflyfish_056.JPG,600,1067,Black-backed butterflyfish,131,404,268,589
Black-backed butterflyfish_057.JPG,600,1067,Black-backed butterflyfish,127,405,282,591
Black-backed butterflyfish_058.JPG,600,1067,Black-backed butterflyfish,87,396,252,591
Black-backed butterflyfish_059.JPG,600,1067,Black-backed butterflyfish,90,399,248,589
Black-backed butterflyfish_060.JPG,600,1067,Black-backed butterflyfish,66,410,240,601
Black-backed butterflyfish_061.JPG,600,1067,Black-backed butterflyfish,93,414,269,602
Black-backed butterflyfish_062.JPG,600,1067,Black-backed butterflyfish,82,420,264,617
Black-backed butterflyfish_063.JPG,600,1067,Black-backed butterflyfish,100,417,274,614
Black-backed butterflyfish_064.JPG,600,1067,Black-backed butterflyfish,169,294,358,488
Black-backed butterflyfish_065.JPG,600,1067,Black-backed butterflyfish,148,276,356,475
Black-backed butterflyfish_066.JPG,600,1067,Black-backed butterflyfish,150,276,353,467
Black-backed butterflyfish_067.JPG,600,1067,Black-backed butterflyfish,139,301,350,497
Black-backed butterflyfish_068.JPG,600,1067,Black-backed butterflyfish,147,305,361,501
Black-backed butterflyfish_069.JPG,600,1067,Black-backed butterflyfish,156,299,369,499
Black-backed butterflyfish_070.JPG,600,1067,Black-backed butterflyfish,164,301,369,501
Black-backed butterflyfish_071.JPG,600,1067,Black-backed butterflyfish,168,294,382,496
Black-backed butterflyfish_072.JPG,600,1067,Black-backed butterflyfish,129,325,358,522
Black-backed butterflyfish_073.JPG,600,1067,Black-backed butterflyfish,137,341,342,533
Black-backed butterflyfish_074.JPG,600,1067,Black-backed butterflyfish,132,341,340,526
Black-backed butterflyfish_075.JPG,600,1067,Black-backed butterflyfish,134,341,339,520
Black-backed butterflyfish_076.JPG,600,1067,Black-backed butterflyfish,129,338,337,518
Black-backed butterflyfish_077.JPG,600,1067,Black-backed butterflyfish,127,333,337,518
Black-backed butterflyfish_078.JPG,600,1067,Black-backed butterflyfish,119,336,329,518
Black-backed butterflyfish_079.JPG,600,1067,Black-backed butterflyfish,111,333,329,520
Black-backed butterflyfish_080.JPG,600,1067,Black-backed butterflyfish,89,341,411,633
Black-backed butterflyfish_081.JPG,600,1067,Black-backed butterflyfish,93,343,408,631
Black-backed butterflyfish_082.JPG,600,1067,Black-backed butterflyfish,87,339,408,633
Black-backed butterflyfish_083.JPG,600,1067,Black-backed butterflyfish,108,334,422,617
Black-backed butterflyfish_084.JPG,600,1067,Black-backed butterflyfish,100,330,414,623
Black-backed butterflyfish_085.JPG,600,1067,Black-backed butterflyfish,93,331,402,625
